,DRUG+INEFFECTIVE,NAUSEA,DEATH,FATIGUE,HEADACHE,DIARRHOEA,DYSPNOEA,PAIN,OFF+LABEL+USE,DIZZINESS,MALAISE,VOMITING,RASH,ASTHENIA,ARTHRALGIA,PYREXIA,FALL,PRURITUS,PNEUMONIA,PAIN+IN+EXTREMITY,ANXIETY,INSOMNIA,INJECTION+SITE+PAIN,DRUG+DOSE+OMISSION,WEIGHT+DECREASED,FEELING+ABNORMAL,DEPRESSION,COUGH,BACK+PAIN,ABDOMINAL+PAIN,MYOCARDIAL+INFARCTION,CONDITION+AGGRAVATED,WEIGHT+INCREASED,DECREASED+APPETITE,BLOOD+GLUCOSE+INCREASED,HYPERTENSION,CHEST+PAIN,SOMNOLENCE,DRUG+HYPERSENSITIVITY,ERYTHEMA,HYPOTENSION,ANAEMIA,ABDOMINAL+PAIN+UPPER,ALOPECIA,GAIT+DISTURBANCE,CEREBROVASCULAR+ACCIDENT,CONSTIPATION,MUSCLE+SPASMS,MYALGIA,TREMOR,HYPERSENSITIVITY,NASOPHARYNGITIS,PRODUCT+QUALITY+ISSUE,CONFUSIONAL+STATE,PARAESTHESIA,OVERDOSE,DRUG+INTERACTION,URTICARIA,URINARY+TRACT+INFECTION,HYPOAESTHESIA,PRODUCT+USE+ISSUE,INCORRECT+DOSE+ADMINISTERED,TOXICITY+TO+VARIOUS+AGENTS,BLOOD+PRESSURE+INCREASED,ABDOMINAL+DISCOMFORT,OEDEMA+PERIPHERAL,RENAL+FAILURE,DEHYDRATION,WRONG+TECHNIQUE+IN+PRODUCT+USAGE+PROCESS,HYPERHIDROSIS,LOSS+OF+CONSCIOUSNESS,VISION+BLURRED,INJECTION+SITE+ERYTHEMA,MEMORY+IMPAIRMENT,PRODUCT+USE+IN+UNAPPROVED+INDICATION,INFECTION,NO+ADVERSE+EVENT,ACUTE+KIDNEY+INJURY,PALPITATIONS,PERIPHERAL+SWELLING,MUSCULAR+WEAKNESS,FLUSHING,PSORIASIS,CHILLS,INAPPROPRIATE+SCHEDULE+OF+DRUG+ADMINISTRATION,SEPSIS,HOSPITALISATION,PULMONARY+EMBOLISM,CARDIAC+FAILURE+CONGESTIVE,HAEMOGLOBIN+DECREASED,NEUTROPENIA,THROMBOCYTOPENIA,GASTROINTESTINAL+HAEMORRHAGE,SYNCOPE,VISUAL+IMPAIRMENT,DRY+SKIN,INFLUENZA,HAEMORRHAGE,ABDOMINAL+DISTENSION,PRODUCT+DOSE+OMISSION
MK,,6.0,,7.0,,,12.0,14.0,,4.0,,,,,,,,,,107.0,1.0,,24.0,75.0,,,,,22.0,22.0,,18.0,,,,4.0,22.0,5.0,,,7.0,,,,,7.0,,,,4.0,8.0,,,27.0,2.0,4.0,,4.0,,,,68.0,,,,,,,124.0,,69.0,,,,,,,19.0,3.0,11.0,2.0,1.0,1.0,,199.0,,,10.0,,,,,,,,,,,,75.0
PY,,6.0,,,,,,14.0,,,,10.0,,,,22.0,,,14.0,,,,,,,,,,,,6.0,,,,,,,,,,,9.0,,,3.0,,,,,2.0,,1.0,,,,,,,,,,,,,10.0,,,2.0,,,,,,3.0,,12.0,,,,,2.0,,,,,10.0,2.0,,21.0,,,4.0,,,,,1.0,,8.0,
TJ,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,,
AF,,5.0,,3.0,,5.0,,16.0,,,,,4.0,,,,1.0,,,,2.0,4.0,38.0,,,,2.0,,37.0,40.0,,,,,,,38.0,,,4.0,,,40.0,,3.0,,1.0,5.0,1.0,,4.0,,31.0,,1.0,,,1.0,,2.0,,26.0,,,,,,,,,,1.0,5.0,,,,92.0,,1.0,,1.0,1.0,,2.0,,,4.0,,,,,,,,,,,,,30.0
KH,,5.0,,8.0,,,,,,5.0,4.0,,,7.0,,9.0,,,,,3.0,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,1.0,,,,,8.0,,,,,,,,4.0,3.0,,,,,,,5.0,,,1.0,,,1.0,,,,,8.0,12.0,,,,,9.0,,
SD,,,170.0,,,,,,345.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,345.0,,27.0,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,
SN,,,62.0,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,32.0,,,,,,,,,23.0,,,,,,,,,77.0,,,,,,,,,,,,,3.0,,,,,,,,4.0,,,,52.0,,,,39.0
BW,,,60.0,,,,,,723.0,,3.0,6.0,,,,,2.0,,7.0,475.0,,,,,,6.0,,3.0,,,,,,,,3.0,,,,4.0,,,,,,,,,,,,,18.0,,,,,,555.0,,723.0,,421.0,,,,,,531.0,,462.0,1.0,4.0,6.0,723.0,,,,,,,,,,644.0,5.0,,,,,3.0,,,,6.0,,,,,
UZ,,,53.0,,,,,,,,,7.0,,,,,,,8.0,,,,,,,,,,,,27.0,,,,,6.0,,,,,,,,,,18.0,,,,,,,,8.0,,,,,,,,,,,,,,3.0,,,,,,,,,,17.0,,,2.0,,,,,12.0,,,,,,11.0,23.0,,,,2.0,20.0,,
BO,,,52.0,,5.0,5.0,,14.0,,3.0,5.0,,,6.0,3.0,8.0,4.0,,,,2.0,2.0,,,16.0,6.0,,,,,,,22.0,16.0,21.0,,,,,,,11.0,,2.0,1.0,,1.0,2.0,2.0,1.0,,,,,1.0,,,,,2.0,,,,21.0,,,,1.0,,,,1.0,,,,14.0,,15.0,,,,,,1.0,,8.0,,8.0,,16.0,6.0,8.0,17.0,2.0,,,1.0,13.0,,
